Compound_CID,Name,Synonyms,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,MeSH_Headings,Annotation_Content,Linked_BioAssays,Data_Source,Data_Source_Category,Tagged_by_PubChem,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Linked_PubChem_Patent_Family_Count,Annotation_Type_Count,Create_Date
20254752,Anticancer agent 118,"Anticancer agent 118|864443-43-6|Anticancer agent 118?|CHEMBL572618|orb1944308|SCHEMBL11009355|DA-50524|HY-154861|CS-0835260|7-(4-(2-chloroacetyl)piperazin-1-yl)-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline -3-carboxylic acid",C19H19ClFN3O4,"InChI=1S/C19H19ClFN3O4/c20-9-17(25)23-5-3-22(4-6-23)16-8-15-12(7-14(16)21)18(26)13(19(27)28)10-24(15)11-1-2-11/h7-8,10-11H,1-6,9H2,(H,27,28)",C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C(=O)CCl)F)C(=O)O,AGTFKGLDCMHYMV-UHFFFAOYSA-N,7-[4-(2-chloroacetyl)piperazin-1-yl]-1-cyclopropyl-6-fluoro-4-oxoquinoline-3-carboxylic acid,,Biological Test Results|Classification|Literature|Patents|Spectral Information|Biological Test Results: Active|Biological Test Results: Micromolar,436973|436974|436975|436976|436977|436978|436979|436980|436981|436982|436983|436984|629122|629123|629124|629125|629154,"AbaChemScene|Biorbyt|BLD Pharm|ChEMBL|ChemSpider|DC Chemicals|Debye Scientific Co., Ltd|Google Patents|IBM|MedChemexpress MCE|MolGenie|Molport|PATENTSCOPE (WIPO)|Protheragen|Springer Nature|SureChEMBL|TargetMol|Thomson Pharma",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,,407.8,81.2,705,1.7,28,1,7,4,407.104797,407.104797,0,1,0,0,0,0,0,0,0,3,2,1,7,20071205
711989,Anticancer agent 129,"Anticancer agent 129|135882-37-0|1-benzyl-2,3-dihydro-1H-pyrrolo[2,3-b]quinolin-4-amine|1-benzyl-2,3-dihydropyrrolo[2,3-b]quinolin-4-amine|CHEMBL283841|1-Benzyl-2,3-dihydro-1H-pyrrolo[2,3-b]quinolin-4-ylamine|Anticancer agent 129?|ChemDiv3_002389|Oprea1_316255|Oprea1_629996|CBDivE_008807|orb2567008|SCHEMBL1110808|ZCZQCKJQIGWLFR-UHFFFAOYSA-N|HMS1479M13|HMS3755G13|BDBM50110702|CCG-18222|STK283501|AKOS000664124|DA-61102|HY-114002|CS-0064843|EU-0041136|H42651|1-enzyl-2,3-ihydropyrrolo[2,3-]uinolin-4-mine|AG-690/11351851|AG-690/11351852|AH-357/02177012|BRD-K11037610-001-01-4|1-benzyl-2, 3-dihydro-1H-pyrrolo[2,3-b]quinolin-4-ylamine",C18H17N3,"InChI=1S/C18H17N3/c19-17-14-8-4-5-9-16(14)20-18-15(17)10-11-21(18)12-13-6-2-1-3-7-13/h1-9H,10-12H2,(H2,19,20)",C1CN(C2=NC3=CC=CC=C3C(=C21)N)CC4=CC=CC=C4,ZCZQCKJQIGWLFR-UHFFFAOYSA-N,"1-benzyl-2,3-dihydropyrrolo[2,3-b]quinolin-4-amine",,Biological Test Results|Classification|Literature|Patents|Biological Test Results: Active|Biological Test Results: Micromolar,422|2275|141792|150766|211666|212366|230733|230841|231072|485350|485395|492967|493033|493162|504770|540299|588519|602314|720641|1224903|1224905|1240487|1240488|1240491|1240492|1259370|1259389|1347074,"001Chemical|10X CHEM|A2B Chem|AbaChemScene|ABI Chem|Accel Scientific|AiFChem, an XtalPi Company|AKos Consulting & Solutions|Ambinter|Angene Chemical|ASINEX|AstaTech, Inc.|Aurora Fine Chemicals LLC|BenchChem|BindingDB|Biorbyt|BLD Pharm|Bradner/Qi Labs at DFCI|Broad Institute|Center for Chemical Genomics, University of Michigan|Chem-Space.com Database|ChemBank|ChEMBL|ChemDB|Chemieliva Pharmaceutical Co., Ltd|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|DC Chemicals|Debye Scientific Co., Ltd|DempoChem|DiscoveryGate|eMolecules|Emory University Molecular Libraries Screening Center|eNovation Chemicals|Google Patents|IBM|ICCB-Longwood Screening Facility, Harvard Medical School|Mcule|MedChemexpress MCE|MolCore|MolGenie|Molport|MuseChem|NextBio|NextMove Software|Novartis Institutes for BioMedical Research|PATENTSCOPE (WIPO)|Probes & Drugs portal|SCRIPDB|Specs|SureChEMBL|SynHet - Synthetic Heterocycles|TargetMol|TimTec|UCSC Chemical Screening Center|Vitas-M Laboratory|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,,275.3,42.2,352,3.5,21,1,3,2,275.142242,275.142242,0,1,0,0,0,0,0,0,0,3,38,7,6,20050708
165412462,Anticancer agent 84,"Anticancer agent 84|2714510-72-0|Anticancer-agent-84|orb1982462|DA-61112|HY-151471|CS-0613428|(3aS,5S,6R,7R,7aS)-2-[2-[2-[4-[2-(9-ethylcarbazol-3-yl)-4,5-bis[4-(4-methylpiperazin-1-yl)phenyl]imidazol-1-yl]phenoxy]ethoxy]ethoxy]-5-(hydroxymethyl)-2-methyl-5,6,7,7a-tetrahydro-3aH-[1,3]dioxolo[4,5-b]pyran-6,7-diol",C57H67N7O9,"InChI=1S/C57H67N7O9/c1-5-63-47-9-7-6-8-45(47)46-36-40(14-23-48(46)63)55-58-50(38-10-15-41(16-11-38)61-28-24-59(3)25-29-61)51(39-12-17-42(18-13-39)62-30-26-60(4)27-31-62)64(55)43-19-21-44(22-20-43)69-34-32-68-33-35-70-57(2)72-54-53(67)52(66)49(37-65)71-56(54)73-57/h6-23,36,49,52-54,56,65-67H,5,24-35,37H2,1-4H3/t49-,52-,53+,54-,56-,57?/m0/s1",CCN1C2=C(C=C(C=C2)C3=NC(=C(N3C4=CC=C(C=C4)OCCOCCOC5(O[C@H]6[C@@H]([C@H]([C@@H](O[C@H]6O5)CO)O)O)C)C7=CC=C(C=C7)N8CCN(CC8)C)C9=CC=C(C=C9)N2CCN(CC2)C)C2=CC=CC=C21,JQFKPFVLERGHMD-BHDRTPEQSA-N,"(3aS,5S,6R,7R,7aS)-2-[2-[2-[4-[2-(9-ethylcarbazol-3-yl)-4,5-bis[4-(4-methylpiperazin-1-yl)phenyl]imidazol-1-yl]phenoxy]ethoxy]ethoxy]-5-(hydroxymethyl)-2-methyl-5,6,7,7a-tetrahydro-3aH-[1,3]dioxolo[4,5-b]pyran-6,7-diol",,,,"AbaChemScene|Biorbyt|BLD Pharm|Debye Scientific Co., Ltd|InvivoChem|MedChemexpress MCE|TargetMol",Chemical Vendors,,994.2,152.0,1710,6.4,73,3,14,16,993.500000,993.500000,0,1,0,6,5,1,0,0,0,0,0,0,0,20221102
1423924,Anticancer agent 168,"Anticancer agent 168|207399-56-2|CBMicro_042242|Oprea1_625200|orb1941688|STL042326|AKOS005695822|DA-70919|BIM-0042354.P001|HY-155339|CS-0900238|AH-262/41128840|SR-01000226065|SR-01000226065-1|7-chloro-1-ethyl-6-(5-nitrofuran-2-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid|7-chloro-1-ethyl-6-{5-nitro-2-furyl}-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid",C16H11ClN2O6,"InChI=1S/C16H11ClN2O6/c1-2-18-7-10(16(21)22)15(20)9-5-8(11(17)6-12(9)18)13-3-4-14(25-13)19(23)24/h3-7H,2H2,1H3,(H,21,22)",CCN1C=C(C(=O)C2=CC(=C(C=C21)Cl)C3=CC=C(O3)[N+](=O)[O-])C(=O)O,DWXHUDQJCDWIQM-UHFFFAOYSA-N,7-chloro-1-ethyl-6-(5-nitrofuran-2-yl)-4-oxoquinoline-3-carboxylic acid,,Biological Test Results|Spectral Information,372|425|521|583|1010|1240|1992|1259310|1259374|1259422|1508602,"10X CHEM|AbaChemScene|ABI Chem|AKos Consulting & Solutions|Ambinter|Biorbyt|Chem-Space.com Database|ChemBank|ChemBridge|ChemDB|ChemSpider|Collaborative Drug Discovery, Inc.|Debye Scientific Co., Ltd|DiscoveryGate|LabNetwork, a WuXi AppTec Company|Mcule|MedChemexpress MCE|Molport|MTDP|NextBio|Probes & Drugs portal|Sanford-Burnham Center for Chemical Genomics|Specs|TargetMol|The Scripps Research Institute Molecular Screening Center|Thomson Pharma|Vitas-M Laboratory|ZINC",Chemical Vendors|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,,362.72,117.0,618,3.9,25,1,7,3,362.030579,362.030579,0,1,0,0,0,0,0,0,0,0,0,0,2,20050711
9998338,Anticancer agent 3,Anticancer agent 3|146537-05-5|CHEMBL333026|orb1710419|SCHEMBL6556690|RPGMVOVTCDJHJS-UHFFFAOYSA-N|BDBM50471780|AKOS040732440|DA-50529|HY-128689|CS-0098035|4-(aminomethyl)-1-[[2-(diethylamino)ethyl]amino]-thioxanthen-9-one|4-(aminomethyl)-1-[2-(diethylamino)ethylamino]thioxanthen-9-one|4-(aminomethyl) -1-[[2-(diethylamino) ethyl]amino]-thioxanthen-9-one|4-(aminomethyl) -1-[[2-(diethylamino)ethyl]amino]-thioxanthen-9-one|4-(Aminomethyl)-1-((2-(diethylamino)ethyl)amino)-9H-thioxanthen-9-one|4-(aminomethyl)-1-[[2-(diethylamino) ethyl]amino]-thioxanthen-9-one|4-(aminomethyl)-l-[[2-(diethylamino) ethyl]amino]-thioxanthen-9-one,C20H25N3OS,"InChI=1S/C20H25N3OS/c1-3-23(4-2)12-11-22-16-10-9-14(13-21)20-18(16)19(24)15-7-5-6-8-17(15)25-20/h5-10,22H,3-4,11-13,21H2,1-2H3",CCN(CC)CCNC1=C2C(=C(C=C1)CN)SC3=CC=CC=C3C2=O,RPGMVOVTCDJHJS-UHFFFAOYSA-N,4-(aminomethyl)-1-[2-(diethylamino)ethylamino]thioxanthen-9-one,,Biological Test Results|Classification|Literature|Patents|Biological Test Results: Active|Biological Test Results: Micromolar,46155|115160|116687|117264|120404|133779|134219|134904|136055|136057|150540|211289,"001Chemical|AbaChemScene|AKos Consulting & Solutions|BindingDB|Biorbyt|BLD Pharm|ChEMBL|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|CymitQuimica|Debye Scientific Co., Ltd|DiscoveryGate|Google Patents|IBM|InvivoChem|Japan Chemical Substance Dictionary (Nikkaji)|Mcule|MedChemexpress MCE|MolCore|MolGenie|NextBio|NextMove Software|PATENTSCOPE (WIPO)|RR Scientific|SCRIPDB|Starshine Chemical|SureChEMBL|TargetMol|Thomson Pharma",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,,355.5,83.7,443,2.4,25,2,5,7,355.171844,355.171844,0,1,0,0,0,0,0,0,0,2,44,13,6,20061025
16023067,Anticancer agent 208,"Anticancer agent 208|894565-34-5|N-(5-{[(3,4-DIMETHOXYPHENYL)METHYL](METHYL)SULFAMOYL}-1,3,4-THIADIAZOL-2-YL)-2-METHYLPROPANAMIDE|orb2564479|CHEMBL1516341|HMS1874N11|AKOS001553457|NCGC00126074-01|PD148303|HY-160871|CS-1050521|E880-1250",C16H22N4O5S2,"InChI=1S/C16H22N4O5S2/c1-10(2)14(21)17-15-18-19-16(26-15)27(22,23)20(3)9-11-6-7-12(24-4)13(8-11)25-5/h6-8,10H,9H2,1-5H3,(H,17,18,21)",CC(C)C(=O)NC1=NN=C(S1)S(=O)(=O)N(C)CC2=CC(=C(C=C2)OC)OC,OUGPNRDVJQTZPG-UHFFFAOYSA-N,"N-[5-[(3,4-dimethoxyphenyl)methyl-methylsulfamoyl]-1,3,4-thiadiazol-2-yl]-2-methylpropanamide",,Biological Test Results|Classification|Literature|Patents|Biological Test Results: Active|Biological Test Results: Micromolar,445|902|903|904|924|1460|1463|1468|1469|1476|1478|1479|1865|1948|2288|2289|2528|2676|463173|485281|485290|485294|485314|485344|485347|485358|485364|493056|493084|493208|504327|504332|504333|504339|504444|504648|504651|504652|504660|504845|504847|504891|540256|540317|588342|588453|588456|588519|588579|588590|588591|588795|588855|588856|602179|602233|602310|602313|602332|624170|624171|624173|624246|624263|624414|624415|624417|624418|651965|652048|652051|652104|686978|686979|720579|720580|720641|743255|743266|1159524|1159614|1224905|1259400|1259415|1346378|1346428|1347041|1347055|1347069|1347070|1347071|1347072|1347075|1347076|1347077|1347120|1347131|1347165|1347404|1347417|1347428|1347430|1508623|1508624|1508642|1508649|1645851|1645870|1671190|1671193|1671194|1745856|1745857|1963576|1964107,"AbaChemScene|AKos Consulting & Solutions|Ambinter|Biorbyt|ChEMBL|ChemDiv|ChemSpider|DiscoveryGate|Google Patents|ICCB-Longwood Screening Facility, Harvard Medical School|Mcule|MedChemexpress MCE|MolGenie|Molport|National Center for Advancing Translational Sciences (NCATS)|Pan Lab, Icahn School of Medicine at Mount Sinai|Probes & Drugs portal|TargetMol|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,,414.5,147.0,598,1.8,27,1,9,8,414.103149,414.103149,0,1,0,0,0,0,0,0,0,2,1,1,6,20070404
11272772,Anticancer agent 95,"Anticancer agent 95|853302-91-7|orb1941696|SCHEMBL1886518|POONXXSQQOXHCC-UHFFFAOYSA-N|HY-148906|CS-0643546|n-(3-aminopropyl)-n-[1-(3-benzyl-7-chloro-4-oxo-3,4-dihydro-quinazolin-2-yl)-2-(dimethylamino)-2-oxoethyl]-4-methylbenzamide|N-(3-aminopropyl)-N-[1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-(dimethylamino)-2-oxoethyl]-4-methylbenzamide",C30H32ClN5O3,"InChI=1S/C30H32ClN5O3/c1-20-10-12-22(13-11-20)28(37)35(17-7-16-32)26(30(39)34(2)3)27-33-25-18-23(31)14-15-24(25)29(38)36(27)19-21-8-5-4-6-9-21/h4-6,8-15,18,26H,7,16-17,19,32H2,1-3H3",CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(=O)N(C)C,POONXXSQQOXHCC-UHFFFAOYSA-N,N-(3-aminopropyl)-N-[1-(3-benzyl-7-chloro-4-oxoquinazolin-2-yl)-2-(dimethylamino)-2-oxoethyl]-4-methylbenzamide,,Patents,,AbaChemScene|Biorbyt|BLD Pharm|ChemSpider|DiscoveryGate|Google Patents|IBM|MedChemexpress MCE|NextBio|NextMove Software|PATENTSCOPE (WIPO)|SCRIPDB|SureChEMBL|TargetMol|Thomson Pharma,Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,,546.1,99.3,897,3.7,39,1,5,9,545.219360,545.219360,0,1,0,1,0,1,0,0,0,0,14,1,1,20061026
53325404,Anticancer agent 261,"ECSI#6|860456-56-0|Anticancer agent 261|orb2945858|CHEMBL1672018|CHEBI:233198|HY-171044|N-[1,3-bis(1,3-benzodioxol-5-yl)propan-2-yl]formamide|N-(1,3-Di(benzo[d][1,3]dioxol-5-yl)propan-2-yl)formamide",C18H17NO5,"InChI=1S/C18H17NO5/c20-9-19-14(5-12-1-3-15-17(7-12)23-10-21-15)6-13-2-4-16-18(8-13)24-11-22-16/h1-4,7-9,14H,5-6,10-11H2,(H,19,20)",C1OC2=C(O1)C=C(C=C2)CC(CC3=CC4=C(C=C3)OCO4)NC=O,HNEITUUMXZICIV-UHFFFAOYSA-N,"N-[1,3-bis(1,3-benzodioxol-5-yl)propan-2-yl]formamide",,Biological Test Results|Classification|Literature,576803|576804|576805|576811|576812|576813|576814|576815|576816|576817,Axon Medchem|Biorbyt|ChEBI|ChEMBL|IBM|MedChemexpress MCE|MolGenie|Molport|Probes & Drugs portal|TargetMol,Chemical Vendors|Curation Efforts|Research and Development,,327.3,66.0,400,3.2,24,1,5,5,327.110687,327.110687,0,1,0,0,0,0,0,0,0,2,0,0,3,20110819
35137404,Anticancer agent 37,"Anticancer agent 37|905783-28-0|orb1688574|STL271128|1-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-3-(4-methylphenyl)urea|AKOS016393097|HY-115962",C19H19N3O3S,"InChI=1S/C19H19N3O3S/c1-12-4-7-14(8-5-12)20-18(23)22-19-21-15(11-26-19)13-6-9-16(24-2)17(10-13)25-3/h4-11H,1-3H3,(H2,20,21,22,23)",CC1=CC=C(C=C1)NC(=O)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,ZOTACLSUTWXWJH-UHFFFAOYSA-N,"1-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-3-(4-methylphenyl)urea",,,,AKos Consulting & Solutions|Ambinter|Aurora Fine Chemicals LLC|Biorbyt|BLD Pharm|InvivoChem|MedChemexpress MCE|TargetMol|Vitas-M Laboratory|ZINC,Chemical Vendors|Legacy Depositors,,369.4,101.0,459,3.8,26,2,5,5,369.114716,369.114716,0,1,0,0,0,0,0,0,0,0,0,0,0,20090529
22915318,Anticancer agent 4,Anticancer agent 4|153236-38-5|CHEMBL423997|SCHEMBL8825075|ZHLMWNKEIRSOPZ-UHFFFAOYSA-N|4-(Aminomethyl)-1-[[2-(dimethylamino)ethyl]amino]-thioxanthen-9-one,C18H21N3OS,"InChI=1S/C18H21N3OS/c1-21(2)10-9-20-14-8-7-12(11-19)18-16(14)17(22)13-5-3-4-6-15(13)23-18/h3-8,20H,9-11,19H2,1-2H3",CN(C)CCNC1=C2C(=C(C=C1)CN)SC3=CC=CC=C3C2=O,ZHLMWNKEIRSOPZ-UHFFFAOYSA-N,4-(aminomethyl)-1-[2-(dimethylamino)ethylamino]thioxanthen-9-one,,Biological Test Results|Classification|Literature|Patents,136056,"001Chemical|ChEMBL|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|DiscoveryGate|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|MolCore|MolGenie|NextMove Software|PATENTSCOPE (WIPO)|SureChEMBL",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,,327.4,83.7,417,1.7,23,2,5,5,327.140533,327.140533,0,1,0,0,0,0,0,0,0,1,18,12,4,20071205
